Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	*ItemProbSum	*ItemProbTotal	*TreasureClassDropChance	ladder	noAlwaysSpawn	*eol
Act 5 (H) Wraith B	10	83	1					75	Act 5 (H) Good	4	Act 5 (H) Magic B	25																						0
Act 5 (H) Wraith C	10	85	1					75	Act 5 (H) Good	4	Act 5 (H) Magic C	25																						0
Quill 1	16	0	1					125	gld	19	Act 1 Junk	19																						0
Quill 2	16	4	1					125	gld	19	Act 1 Junk	19																						0
Quill 3	16	8	1					125	gld	19	Act 1 Junk	19	Act 1 Good	1																				0
Quill 4	16	12	1					125	gld	19	Act 1 Junk	19	Act 1 Good	1																				0
Quill 5	16	20	1					125	gld	19	Act 3 Junk	19	Act 3 Good	1																				0
Quill 1 (N)	16	32	1					125	gld	19	Act 1 (N) Junk	19																						0
Quill 2 (N)	16	35	1					125	gld	19	Act 1 (N) Junk	19	Act 1 (N) Good	1																				0
Quill 3 (N)	16	38	1					125	gld	19	Act 1 (N) Junk	19	Act 1 (N) Good	1																				0
Quill 4 (N)	16	40	1					125	gld	19	Act 1 (N) Junk	19	Act 1 (N) Good	1																				0
Quill 5 (N)	16	46	1					125	gld	19	Act 3 (N) Junk	19	Act 3 (N) Good	1																				0
Quill 1 (H)	16	60	1					125	gld	19	Act 1 (H) Junk	19																						0
Quill 2 (H)	16	62	1					125	gld	19	Act 1 (H) Junk	19	Act 1 (H) Good	3																				0
Quill 3 (H)	16	65	1					125	gld	19	Act 1 (H) Junk	19	Act 1 (H) Good	3																				0
Quill 4 (H)	16	68	1					125	gld	19	Act 1 (H) Junk	19	Act 1 (H) Good	3																				0
Quill 5 (H)	16	85	1					125	gld	19	Act 3 (H) Junk	19	Act 3 (H) Good	3																				0
Swarm 1	17	0	1					125	Potion 2	12	Misc 1	6	Act 2 Good	1	Act 2 Magic A	6																		0
Swarm 2	17	20	1					125	Potion 3	12	Misc 2	6	Act 3 Good	1	Act 3 Magic A	6																		0
Swarm 1 (N)	17	40	1					125	Potion 6	12	Misc 2	6	Act 2 (N) Good	1	Act 2 (N) Magic A	6																		0
Swarm 2 (N)	17	46	1					125	Potion 6	12	Misc 2	6	Act 3 (N) Good	1	Act 3 (N) Magic A	6																		0
Swarm 1 (H)	17	68	1					125	Potion 6	12	Misc 2	6	Act 2 (H) Good	1	Act 2 (H) Magic A	6																		0
Swarm 2 (H)	17	74	1					125	Potion 6	12	Misc 2	6	Act 3 (H) Good	1	Act 3 (H) Magic A	6																		0
Sunder Charms			1					23899	Cold Rupture	30	Flame Rift	30	Crack of the Heavens	20	Rotting Fissure	12	Bone Break	6	Black Cleft	3													1	0
Act 1 Cpot A	12	0	2					0	Hpotion 1	1																								0
Act 1 Cpot B	12	5	2					0	Hpotion 1	1																								0
Act 1 Cpot C	12	9	2					0	Hpotion 1	1																								0
Act 2 Cpot A	12	12	2					0	Hpotion 2	1																								0
Act 2 Cpot B	12	15	2					0	Hpotion 2	1																								0
Act 2 Cpot C	12	18	2					0	Hpotion 2	1																								0
Act 3 Cpot A	12	20	2					0	Hpotion 3	1																								0
Act 3 Cpot B	12	22	2					0	Hpotion 3	1																								0
Act 3 Cpot C	12	24	2					0	Hpotion 3	1																								0
Act 4 Cpot A	12	26	2					0	Hpotion 3	1	Hpotion 4	2																						0
Act 4 Cpot B	12	29	2					0	Hpotion 3	1	Hpotion 4	2																						0
Act 5 Cpot A	12	32	2					0	Hpotion 4	1	Hpotion 5	2																						0
Act 5 Cpot B	12	34	2					0	Hpotion 4	1	Hpotion 5	2																						0
Act 5 Cpot C	12	36	2					0	Hpotion 4	1	Hpotion 5	2																						0
Act 1 (N) Cpot A	12	38	2					0	Hpotion 4	1	Hpotion 5	2	Hpotion 6	4																				0
Act 1 (N) Cpot B	12	40	2					0	Hpotion 4	1	Hpotion 5	2	Hpotion 6	4						7														0
Act 1 (N) Cpot C	12	41	2					0	Hpotion 4	1	Hpotion 5	2	Hpotion 6	4						7														0
Act 2 (N) Cpot A	12	42	2					0	Hpotion 4	1	Hpotion 5	2	Hpotion 6	4						7														0
Act 2 (N) Cpot B	12	44	2					0	Hpotion 4	1	Hpotion 5	2	Hpotion 6	4						7														0
Act 2 (N) Cpot C	12	45	2					0	Hpotion 4	1	Hpotion 5	2	Hpotion 6	4						7														0
Act 3 (N) Cpot A	12	46	2					0	rvs	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7														0
Act 3 (N) Cpot B	12	48	2					0	rvs	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7														0
Act 3 (N) Cpot C	12	50	2					0	rvs	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7														0
Act 4 (N) Cpot A	12	51	2					0	rvs	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7														0
Act 4 (N) Cpot B	12	54	2					0	rvs	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7														0
Act 5 (N) Cpot A	12	57	2					0	rvs	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7														0
Act 5 (N) Cpot B	12	60	2					0	rvs	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7														0
Act 5 (N) Cpot C	12	62	2					0	rvs	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7														0
Act 1 (H) Cpot A	12	63	2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7														0
Act 1 (H) Cpot B	12	66	2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7														0
Act 1 (H) Cpot C	12	68	2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7														0
Act 2 (H) Cpot A	12	69	2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7														0
Act 2 (H) Cpot B	12	71	2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7														0
Act 2 (H) Cpot C	12	72	2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7														0
Act 3 (H) Cpot A	12	74	2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7														0
Act 3 (H) Cpot B	12	75	2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7														0
Act 3 (H) Cpot C	12	77	2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7														0
Act 4 (H) Cpot A	12	78	2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7														0
Act 4 (H) Cpot B	12	80	2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7														0
Act 5 (H) Cpot A	12	81	2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7														0
Act 5 (H) Cpot B	12	83	2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7														0
Act 5 (H) Cpot C	12	85	2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7														0
Act 1 Super Ax	19	0	-4	512	654	972	1024	0	Act 1 Uitem A	2	Act 1 Cpot A	2																						0
Act 1 Super Bx	19	5	-4	512	654	972	1024	0	Act 1 Uitem B	2	Act 1 Cpot B	2																						0
Act 1 Super Cx	19	9	-4	512	654	972	1024	0	Act 1 Uitem C	2	Act 1 Cpot C	2																						0
Act 2 Super Ax	19	12	-4	512	654	972	1024	0	Act 2 Uitem A	2	Act 2 Cpot A	2																						0
Act 2 Super Bx	19	15	-4	512	654	972	1024	0	Act 2 Uitem B	2	Act 2 Cpot B	2																						0
Act 2 Super Cx	19	18	-4	512	654	972	1024	0	Act 2 Uitem C	2	Act 2 Cpot C	2																						0
Act 3 Super Ax	19	20	-4	512	654	972	1024	0	Act 3 Uitem A	2	Act 3 Cpot A	2																						0
Act 3 Super Bx	19	22	-4	512	654	972	1024	0	Act 3 Uitem B	2	Act 3 Cpot B	2																						0
Act 3 Super Cx	19	24	-4	512	654	972	1024	0	Act 3 Uitem C	2	Act 3 Cpot C	2																						0
Act 4 Super Ax	19	26	-4	512	654	972	1024	0	Act 4 Uitem A	2	Act 4 Cpot A	2																						0
Act 4 Super Bx	19	29	-4	512	654	972	1024	0	Act 4 Uitem B	2	Act 4 Cpot B	2																						0
Act 4 Super Cx	19	32	-4	512	654	972	1024	0	Act 4 Uitem B	2	Act 4 Cpot B	2																						0
Act 5 Super Ax	19	34	-4	512	654	972	1024	0	Act 5 Uitem A	2	Act 5 Cpot A	2																						0
Act 5 Super Bx	19	36	-4	512	654	972	1024	0	Act 5 Uitem B	2	Act 5 Cpot B	2																						0
Act 5 Super Cx	19	38	-4	512	654	972	1024	0	Act 5 Uitem C	2	Act 5 Cpot C	2																						0
Act 1 (N) Super Ax	19	40	-4	512	654	972	1024	0	Act 1 (N) Uitem A	2	Act 1 (N) Cpot A	2																						0
Act 1 (N) Super Bx	19	41	-4	512	654	972	1024	0	Act 1 (N) Uitem B	2	Act 1 (N) Cpot B	2																						0
Act 1 (N) Super Cx	19	42	-4	512	654	972	1024	0	Act 1 (N) Uitem C	2	Act 1 (N) Cpot C	2																						0
Act 2 (N) Super Ax	19	44	-4	512	654	972	1024	0	Act 2 (N) Uitem A	2	Act 2 (N) Cpot A	2																						0
Act 2 (N) Super Bx	19	45	-4	512	654	972	1024	0	Act 2 (N) Uitem B	2	Act 2 (N) Cpot B	2																						0
Act 2 (N) Super Cx	19	46	-4	512	654	972	1024	0	Act 2 (N) Uitem C	2	Act 2 (N) Cpot C	2																						0
Act 3 (N) Super Ax	19	48	-4	512	654	972	1024	0	Act 3 (N) Uitem A	2	Act 3 (N) Cpot A	2																						0
Act 3 (N) Super Bx	19	50	-4	512	654	972	1024	0	Act 3 (N) Uitem B	2	Act 3 (N) Cpot B	2																						0
Act 3 (N) Super Cx	19	51	-4	512	654	972	1024	0	Act 3 (N) Uitem C	2	Act 3 (N) Cpot C	2																						0
Act 4 (N) Super Ax	19	54	-4	512	654	972	1024	0	Act 4 (N) Uitem A	2	Act 4 (N) Cpot A	2																						0
Act 4 (N) Super Bx	19	57	-4	512	654	972	1024	0	Act 4 (N) Uitem B	2	Act 4 (N) Cpot B	2																						0
Act 4 (N) Super Cx	19	60	-4	512	654	972	1024	0	Act 4 (N) Uitem B	2	Act 4 (N) Cpot B	2																						0
Act 5 (N) Super Ax	19	62	-4	512	654	972	1024	0	Act 5 (N) Uitem A	2	Act 5 (N) Cpot A	2																						0
Act 5 (N) Super Bx	19	63	-4	512	654	972	1024	0	Act 5 (N) Uitem B	2	Act 5 (N) Cpot B	2																						0
Act 5 (N) Super Cx	19	66	-4	512	654	972	1024	0	Act 5 (N) Uitem C	2	Act 5 (N) Cpot C	2																						0
Act 1 (H) Super Ax	19	67	-4	512	654	972	1024	0	Act 1 (H) Uitem A	2	Act 1 (H) Cpot A	2																						0
Act 1 (H) Super Bx	19	67	-4	512	654	972	1024	0	Act 1 (H) Uitem B	2	Act 1 (H) Cpot B	2																						0
Act 1 (H) Super Cx	19	68	-4	512	654	972	1024	0	Act 1 (H) Uitem C	2	Act 1 (H) Cpot C	2																						0
Act 2 (H) Super Ax	19	68	-4	512	654	972	1024	0	Act 2 (H) Uitem A	2	Act 2 (H) Cpot A	2																						0
Act 2 (H) Super Bx	19	69	-4	512	654	972	1024	0	Act 2 (H) Uitem B	2	Act 2 (H) Cpot B	2																						0
Act 2 (H) Super Cx	19	72	-4	512	654	972	1024	0	Act 2 (H) Uitem C	2	Act 2 (H) Cpot C	2																						0
Act 3 (H) Super Ax	19	73	-4	512	654	972	1024	0	Act 3 (H) Uitem A	2	Act 3 (H) Cpot A	2																						0
Act 3 (H) Super Bx	19	75	-4	512	654	972	1024	0	Act 3 (H) Uitem B	2	Act 3 (H) Cpot B	2																						0
Act 3 (H) Super Cx	19	78	-4	512	654	972	1024	0	Act 3 (H) Uitem C	2	Act 3 (H) Cpot C	2																						0
Act 4 (H) Super Ax	19	81	-4	512	654	972	1024	0	Act 4 (H) Uitem A	2	Act 4 (H) Cpot A	2																						0
Act 4 (H) Super Bx	19	84	-4	512	654	972	1024	0	Act 4 (H) Uitem B	2	Act 4 (H) Cpot B	2																						0
Act 4 (H) Super Cx	19	87	-4	512	654	972	1024	0	Act 4 (H) Uitem B	2	Act 4 (H) Cpot B	2																						0
Act 5 (H) Super Ax	19	90	-4	512	654	972	1024	0	Act 5 (H) Uitem A	2	Act 5 (H) Cpot A	2																						0
Act 5 (H) Super Bx	19	93	-4	512	654	972	1024	0	Act 5 (H) Uitem B	2	Act 5 (H) Cpot B	2																						0
Act 5 (H) Super Cx	19	96	-4	512	654	972	1024	0	Act 5 (H) Uitem C	2	Act 5 (H) Cpot C	2																						0
Act 4 (H) Equip C	1	82	1						weap72	2	armo72	1	weap75	6	armo75	3	weap78	14	armo78	7	weap81	2	armo81	1	Act 4 (H) Equip A	1530			36	1566	0.977			0
Andarielq Desecrated A	20	13	7	995	995	1024	1024	19	Act 2 Equip A	19	Act 2 Good	3																						0
Andarielq Desecrated B	20	32	7	995	995	1024	1024	19	Act 4 Equip B	19	Act 4 Good	3																						0
Andarielq Desecrated C	20	48	7	995	995	1024	1024	19	Act 3 (N) Equip A	19	Act 3 (N) Good	3																						0
Andarielq (N) Desecrated A	20	43	7	995	995	1024	1024	19	Act 2 (N) Equip A	19	Act 2 (N) Good	3																						0
Andarielq (N) Desecrated B	20	57	7	995	995	1024	1024	19	Act 4 (N) Equip B	19	Act 4 (N) Good	3																						0
Andarielq (N) Desecrated C	20	73	7	995	995	1024	1024	19	Act 3 (H) Equip A	19	Act 3 (H) Good	3																						0
Andarielq Item (H) Desecrated A			7	995	995	1024	1024	19	Act 3 (H) Equip B	19	Act 3 (H) Good	3	tes	1																				0
Andarielq Item (H) Desecrated B			7	995	995	1024	1024	19	Act 3 (H) Equip C	19	Act 3 (H) Good	3	tes	1																				0
Andarielq Item (H) Desecrated C			7	995	995	1024	1024	19	Act 4 (H) Equip A	19	Act 4 (H) Good	3	tes	1																				0
Andarielq Item (H) Desecrated D			7	995	995	1024	1024	19	Act 4 (H) Equip B	19	Act 4 (H) Good	3	tes	1																				0
Andarielq Item (H) Desecrated E			7	995	995	1024	1024	19	Act 4 (H) Equip C	19	Act 4 (H) Good	3	tes	1																				0
Andarielq Item (H) Desecrated F			7	995	995	1024	1024	19	Act 5 (H) Equip A	19	Act 5 (H) Good	3	tes	1																				0
Andarielq Item (H) Desecrated G			7	995	995	1024	1024	19	Act 5 (H) Equip B	19	Act 5 (H) Good	3	tes	1																				0
Andarielq Item (H) Desecrated H			7	995	995	1024	1024	19	Act 5 (H) Equip C	19	Act 5 (H) Good	3	tes	1																				0
Andarielq (H) Desecrated A	20	74	-2					0	Sunder Charms	1	Andarielq Item (H) Desecrated A	1																						0
Andarielq (H) Desecrated B	20	78	-2					0	Sunder Charms	1	Andarielq Item (H) Desecrated B	1																						0
Andarielq (H) Desecrated C	20	81	-2					0	Sunder Charms	1	Andarielq Item (H) Desecrated C	1																						0
Andarielq (H) Desecrated D	20	84	-2					0	Sunder Charms	1	Andarielq Item (H) Desecrated D	1																						0
Andarielq (H) Desecrated E	20	87	-2					0	Sunder Charms	1	Andarielq Item (H) Desecrated E	1																						0
Andarielq (H) Desecrated F	20	90	-2					0	Sunder Charms	1	Andarielq Item (H) Desecrated F	1																						0
Andarielq (H) Desecrated G	20	93	-2					0	Sunder Charms	1	Andarielq Item (H) Desecrated G	1																						0
Andarielq (H) Desecrated H	20	96	-2					0	Sunder Charms	1	Andarielq Item (H) Desecrated H	1																						0
Duriel - Base Desecrated A			7	983	983	983	1024	19	"gld,mul=1280"	11	Act 3 Equip B	19	Act 3 Junk	15	Act 3 Good	3																		0
Duriel - Base Desecrated B			7	983	983	983	1024	19	"gld,mul=1280"	11	Act 5 Equip B	19	Act 5 Junk	15	Act 5 Good	3																		0
Duriel - Base Desecrated C			7	983	983	983	1024	19	"gld,mul=1280"	11	Act 3 (N) Equip A	19	Act 3 (N) Junk	15	Act 3 (N) Good	3																		0
Duriel (N) - Base Desecrated A			7	983	983	983	1024	19	"gld,mul=1536"	11	Act 4 (N) Equip A	19	Act 4 (N) Junk	15	Act 4 (N) Good	3																		0
Duriel (N) - Base Desecrated B			7	983	983	983	1024	19	"gld,mul=1536"	11	Act 5 (N) Equip B	19	Act 5 (N) Junk	15	Act 5 (N) Good	3																		0
Duriel (N) - Base Desecrated C			7	983	983	983	1024	19	"gld,mul=1536"	11	Act 3 (H) Equip A	19	Act 3 (H) Junk	15	Act 3 (H) Good	3																		0
Duriel (H) - Base Desecrated A			7	983	983	983	1024	19	"gld,mul=2048"	11	Act 4 (H) Equip B	19	Act 4 (H) Junk	15	Act 4 (H) Good	3	tes	2																0
Duriel (H) - Base Desecrated B			7	983	983	983	1024	19	"gld,mul=2048"	11	Act 5 (H) Equip A	19	Act 5 (H) Junk	15	Act 5 (H) Good	3	tes	2																0
Duriel (H) - Base Desecrated C			7	983	983	983	1024	19	"gld,mul=2048"	11	Act 5 (H) Equip B	19	Act 5 (H) Junk	15	Act 5 (H) Good	3	tes	2																0
Duriel (H) - Base Desecrated D			7	983	983	983	1024	19	"gld,mul=2048"	11	Act 5 (H) Equip C	19	Act 5 (H) Junk	15	Act 5 (H) Good	3	tes	2																0
Radament Desecrated A	21	19	5	900	900	900	1024	19	"gld,mul=1280"	11	Act 3 Equip B	19	Act 3 Junk	15	Act 3 Good	3																		0
Radament Desecrated B	21	33	5	900	900	900	1024	19	"gld,mul=1280"	11	Act 4 Equip B	19	Act 4 Junk	15	Act 4 Good	3																		0
Radament Desecrated C	21	48	5	900	900	900	1024	19	"gld,mul=1280"	11	Act 3 (N) Equip A	19	Act 3 (N) Junk	15	Act 3 (N) Good	3																		0
Radament (N) Desecrated A	21	52	5	900	900	900	1024	19	"gld,mul=1536"	11	Act 3 (N) Equip C	19	Act 3 (N) Junk	15	Act 3 (N) Good	3																		0
Radament (N) Desecrated B	21	62	5	900	900	900	1024	19	"gld,mul=1536"	11	Act 5 (N) Equip A	19	Act 5 (N) Junk	15	Act 5 (N) Good	3																		0
Radament (N) Desecrated C	21	73	5	900	900	900	1024	19	"gld,mul=1536"	11	Act 3 (H) Equip A	19	Act 3 (H) Junk	15	Act 3 (H) Good	3																		0
Radament Item (H) Desecrated A			5	900	900	900	1024	19	"gld,mul=2048"	11	Act 4 (H) Equip B	19	Act 4 (H) Junk	15	Act 4 (H) Good	3																		0
Radament Item (H) Desecrated B			5	900	900	900	1024	19	"gld,mul=2048"	11	Act 5 (H) Equip A	19	Act 5 (H) Junk	15	Act 5 (H) Good	3																		0
Radament Item (H) Desecrated C			5	900	900	900	1024	19	"gld,mul=2048"	11	Act 5 (H) Equip B	19	Act 5 (H) Junk	15	Act 5 (H) Good	3																		0
Radament Item (H) Desecrated D			5	900	900	900	1024	19	"gld,mul=2048"	11	Act 5 (H) Equip C	19	Act 5 (H) Junk	15	Act 5 (H) Good	3																		0
Radament (H) Desecrated A	21	86	-2					0	Sunder Charms	1	Radament Item (H) Desecrated A	1																						0
Radament (H) Desecrated B	21	90	-2					0	Sunder Charms	1	Radament Item (H) Desecrated B	1																						0
Radament (H) Desecrated C	21	93	-2					0	Sunder Charms	1	Radament Item (H) Desecrated C	1																						0
Radament (H) Desecrated D	21	96	-2					0	Sunder Charms	1	Radament Item (H) Desecrated D	1																						0
Mephisto Desecrated A	22	26	7	983	983	983	1024	15	"gld,mul=1280"	5	Act 4 Equip A	52	Act 4 Junk	5	Act 4 Good	3																		0
Mephisto Desecrated B	22	38	7	983	983	983	1024	15	"gld,mul=1280"	5	Act 5 Equip C	52	Act 5 Junk	5	Act 5 Good	3																		0
Mephisto Desecrated C	22	48	7	983	983	983	1024	15	"gld,mul=1280"	5	Act 3 (N) Equip A	52	Act 3 (N) Junk	5	Act 3 (N) Good	3																		0
Mephisto (N) Desecrated A	22	59	7	983	983	983	1024	15	"gld,mul=1536"	5	Act 4 (N) Equip B	52	Act 4 (N) Junk	5	Act 4 (N) Good	3																		0
Mephisto (N) Desecrated B	22	66	7	983	983	983	1024	15	"gld,mul=1536"	5	Act 5 (N) Equip C	52	Act 5 (N) Junk	5	Act 5 (N) Good	3																		0
Mephisto (N) Desecrated C	22	73	7	983	983	983	1024	15	"gld,mul=1536"	5	Act 3 (H) Equip A	52	Act 3 (H) Junk	5	Act 3 (H) Good	3																		0
Mephisto Item (H) Desecrated A			7	983	983	983	1024	15	"gld,mul=2048"	5	Act 4 (H) Equip B	52	Act 4 (H) Junk	5	Act 4 (H) Good	3	ceh	1																0
Mephisto Item (H) Desecrated B			7	983	983	983	1024	15	"gld,mul=2048"	5	Act 5 (H) Equip A	52	Act 5 (H) Junk	5	Act 5 (H) Good	3	ceh	1																0
Mephisto Item (H) Desecrated C			7	983	983	983	1024	15	"gld,mul=2048"	5	Act 5 (H) Equip B	52	Act 5 (H) Junk	5	Act 5 (H) Good	3	ceh	1																0
Mephisto Item (H) Desecrated D			7	983	983	983	1024	15	"gld,mul=2048"	5	Act 5 (H) Equip C	52	Act 5 (H) Junk	5	Act 5 (H) Good	3	ceh	1																0
Mephisto (H) Desecrated A	22	87	-2					0	Sunder Charms	1	Mephisto Item (H) Desecrated A	1																						0
Mephisto (H) Desecrated B	22	90	-2					0	Sunder Charms	1	Mephisto Item (H) Desecrated A	1																						0
Mephisto (H) Desecrated C	22	93	-2					0	Sunder Charms	1	Mephisto Item (H) Desecrated A	1																						0
Mephisto (H) Desecrated D	22	96	-2					0	Sunder Charms	1	Mephisto Item (H) Desecrated A	1																						0
Diablo Desecrated A	23	40	7	983	983	983	1024	15	"gld,mul=1280"	5	Act 1 (N) Equip A	52	Act 1 (N) Junk	5	Act 1 (N) Good	3																		0
Diablo Desecrated B	23	48	7	983	983	983	1024	15	"gld,mul=1280"	5	Act 3 (N) Equip A	52	Act 3 (N) Junk	5	Act 3 (N) Good	3																		0
Diablo (N) Desecrated A	23	62	7	983	983	983	1024	15	"gld,mul=1536"	5	Act 5 (N) Equip A	52	Act 5 (N) Junk	5	Act 5 (N) Good	3																		0
Diablo (N) Desecrated B	23	67	7	983	983	983	1024	15	"gld,mul=1536"	5	Act 1 (H) Equip A	52	Act 1 (H) Junk	5	Act 1 (H) Good	3																		0
Diablo (N) Desecrated C	23	73	7	983	983	983	1024	15	"gld,mul=1536"	5	Act 3 (H) Equip A	52	Act 3 (H) Junk	5	Act 3 (H) Good	3																		0
Diablo Item (H) Desecrated A			7	983	983	983	1024	15	"gld,mul=2048"	5	Act 5 (H) Equip B	52	Act 5 (H) Junk	5	Act 5 (H) Good	3	bet	1																0
Diablo Item (H) Desecrated B			7	983	983	983	1024	15	"gld,mul=2048"	5	Act 5 (H) Equip C	52	Act 5 (H) Junk	5	Act 5 (H) Good	3	bet	1																0
Diablo (H) Desecrated A	23	94	-2					0	Sunder Charms	1	Diablo Item (H) Desecrated A	1																						0
Diablo (H) Desecrated B	23	96	-2					0	Sunder Charms	1	Diablo Item (H) Desecrated B	1																						0
Summoner Desecrated A	24	18	5	900	900	972	1024	19	"gld,mul=1280"	9	Act 2 Equip C	15	Act 3 Junk	5	Act 2 Good	3	Act 3 Magic A	4																0
Summoner Desecrated B	24	32	5	900	900	972	1024	19	"gld,mul=1280"	9	Act 4 Equip B	15	Act 5 Junk	5	Act 4 Good	3	Act 5 Magic A	4																0
Summoner Desecrated C	24	48	5	900	900	972	1024	19	"gld,mul=1280"	9	Act 3 (N) Equip C	15	Act 4 (N) Junk	5	Act 3 (N) Good	3	Act 4 (N) Magic A	4																0
Summoner (N) Desecrated A	24	55	5	900	900	972	1024	19	"gld,mul=1536"	9	Act 4 (N) Equip A	15	Act 5 (N) Junk	5	Act 4 (N) Good	3	Act 5 (N) Magic A	4																0
Summoner (N) Desecrated B	24	63	5	900	900	972	1024	19	"gld,mul=1536"	9	Act 5 (N) Equip A	15	Act 1 (H) Junk	5	Act 5 (N) Good	3	Act 1 (H) Magic A	4																0
Summoner (N) Desecrated C	24	73	5	900	900	972	1024	19	"gld,mul=1536"	9	Act 3 (H) Equip A	15	Act 3 (H) Junk	5	Act 3 (H) Good	3	Act 3 (H) Magic A	4																0
Summoner Item (H) Desecrated A			5	900	900	972	1024	19	"gld,mul=2048"	9	Act 4 (H) Equip A	15	Act 5 (H) Junk	5	Act 4 (H) Good	3	Act 5 (H) Magic A	4	pk2	1														0
Summoner Item (H) Desecrated B			5	900	900	972	1024	19	"gld,mul=2048"	9	Act 4 (H) Equip B	15	Act 5 (H) Junk	5	Act 4 (H) Good	3	Act 5 (H) Magic B	4	pk2	1														0
Summoner Item (H) Desecrated C			5	900	900	972	1024	19	"gld,mul=2048"	9	Act 4 (H) Equip C	15	Act 5 (H) Junk	5	Act 4 (H) Good	3	Act 5 (H) Magic A	4	pk2	1														0
Summoner Item (H) Desecrated D			5	900	900	972	1024	19	"gld,mul=2048"	9	Act 5 (H) Equip A	15	Act 5 (H) Junk	5	Act 5 (H) Good	3	Act 5 (H) Magic C	4	pk2	1														0
Summoner Item (H) Desecrated E			5	900	900	972	1024	19	"gld,mul=2048"	9	Act 5 (H) Equip B	15	Act 5 (H) Junk	5	Act 5 (H) Good	3	Act 5 (H) Magic C	4	pk2	1														0
Summoner Item (H) Desecrated F			5	900	900	972	1024	19	"gld,mul=2048"	9	Act 5 (H) Equip C	15	Act 5 (H) Junk	5	Act 5 (H) Good	3	Act 5 (H) Magic C	4	pk2	1														0
Summoner (H) Desecrated A	24	80	-2					0	Sunder Charms	1	Summoner Item (H) Desecrated A	1																						0
Summoner (H) Desecrated B	24	84	-2					0	Sunder Charms	1	Summoner Item (H) Desecrated B	1																						0
Summoner (H) Desecrated C	24	87	-2					0	Sunder Charms	1	Summoner Item (H) Desecrated C	1																						0
Summoner (H) Desecrated D	24	90	-2					0	Sunder Charms	1	Summoner Item (H) Desecrated D	1																						0
Summoner (H) Desecrated E	24	93	-2					0	Sunder Charms	1	Summoner Item (H) Desecrated E	1																						0
Summoner (H) Desecrated F	24	96	-2					0	Sunder Charms	1	Summoner Item (H) Desecrated F	1																						0
Council Desecrated A	25	28	3	650	800	800	1024	19	"gld,mul=1280"	9	Act 4 Equip B	15	Act 4 Junk	5	Act 4 Good	3	Act 4 Magic B	4																0
Council Desecrated B	25	38	3	650	800	800	1024	19	"gld,mul=1280"	9	Act 5 Equip C	15	Act 5 Junk	5	Act 5 Good	3	Act 5 Magic C	4																0
Council Desecrated C	25	48	3	650	800	800	1024	19	"gld,mul=1280"	9	Act 3 (N) Equip A	15	Act 3 (N) Junk	5	Act 3 (N) Good	3	Act 3 (N) Magic A	4																0
Council (N) Desecrated A	25	57	3	650	800	800	1024	19	"gld,mul=1536"	9	Act 4 (N) Equip B	15	Act 4 (N) Junk	5	Act 4 (N) Good	3	Act 4 (N) Magic B	4																0
Council (N) Desecrated B	25	66	3	650	800	800	1024	19	"gld,mul=1536"	9	Act 5 (N) Equip C	15	Act 5 (N) Junk	5	Act 5 (N) Good	3	Act 5 (N) Magic C	4																0
Council (N) Desecrated C	25	73	3	650	800	800	1024	19	"gld,mul=1536"	9	Act 3 (H) Equip A	15	Act 3 (H) Junk	5	Act 3 (H) Good	3	Act 3 (H) Magic A	4																0
Council Item (H) Desecrated A			3	650	800	800	1024	19	"gld,mul=2048"	9	Act 4 (H) Equip B	15	Act 4 (H) Junk	5	Act 4 (H) Good	3	Act 4 (H) Magic B	4																0
